account,block,metric,dimension,value
tedxhamamatsu,posting_frequency,monthly_posts,2024-04,2
tedxhamamatsu,posting_frequency,monthly_posts,2024-05,1
tedxhamamatsu,posting_frequency,monthly_posts,2024-06,6
tedxhamamatsu,posting_frequency,monthly_posts,2024-07,17
tedxhamamatsu,posting_frequency,monthly_posts,2024-08,6
tedxhamamatsu,posting_frequency,monthly_posts,2024-09,35
tedxhamamatsu,posting_frequency,monthly_posts,2024-10,9
tedxhamamatsu,posting_frequency,monthly_posts,2024-12,1
tedxhamamatsu,posting_frequency,monthly_posts,2025-04,1
tedxhamamatsu,posting_frequency,monthly_posts,2025-05,1
tedxhamamatsu,posting_frequency,monthly_posts,2025-06,1
tedxhamamatsu,posting_frequency,monthly_posts,2025-08,1
tedxhamamatsu,posting_frequency,monthly_posts,2025-09,1
tedxhamamatsu,posting_frequency,monthly_posts,2025-10,3
tedxhamamatsu,posting_frequency,monthly_posts,2025-11,10
tedxhamamatsu,posting_frequency,monthly_posts,2025-12,4
tedxhamamatsu,posting_frequency,monthly_posts,2026-01,3
tedxhamamatsu,posting_frequency,monthly_posts,2026-02,1
tedxhamamatsu,posting_frequency,monthly_posts,2026-03,3
tedxhamamatsu,posting_frequency,monthly_posts,2026-04,3
tedxhamamatsu,posting_frequency,monthly_posts,2026-05,5
